scenario,scenario_label,projection_year,calibration_year,portfolio_exposure_tnd,initial_risk_stress,annual_risk_trend,annual_exposure_growth,expected_loss_ratio,expected_loss_ratio_lower,expected_loss_ratio_upper,expected_economic_loss_tnd,prudence_margin,risk_adjusted_provision_tnd,risk_adjusted_provision_lower_tnd,risk_adjusted_provision_upper_tnd,cumulative_provision_tnd,interpretation
resilience,Resilience improvement,2027,2024,10000000,0.9,-0.03,0.02,0.0022719560765938843,8.399687315525386e-4,0.0041202445798003634,22719.560765938844,0.1,24991.516842532732,9239.656047077926,45322.690377804,24991.516842532732,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
resilience,Resilience improvement,2028,2024,10200000,0.9,-0.03,0.02,0.002203797394296068,8.147696696059624e-4,0.003996637242406353,22478.733421819892,0.1,24726.606764001885,9141.7156929789,44842.26985979927,49718.12360653462,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
resilience,Resilience improvement,2029,2024,10404000,0.9,-0.03,0.02,0.0021376834724671856,7.903265795177835e-4,0.0038767381251341615,22240.458847548598,0.1,24464.50473230346,9044.813506633322,44366.9417992854,74182.62833883808,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
resilience,Resilience improvement,2030,2024,10612080,0.9,-0.03,0.02,0.0020735529682931702,7.6661678213225e-4,0.0037604359813801372,22004.709983764587,0.1,24205.18098214105,8948.93848346301,43896.65221621298,98387.80932097913,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
resilience,Resilience improvement,2031,2024,10824321.6,0.9,-0.03,0.02,0.002011346379244375,7.436182786682824e-4,0.0036476229019387326,21771.460057936678,0.1,23948.60606373035,8854.0797355383,43431.34770272112,122336.41538470947,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
persistent,Persistent conditions,2027,2024,10000000,1,0,0.02,0.0025243956406598715,9.332985906139317e-4,0.004578049533111515,25243.956406598714,0.2,30292.747687918454,11199.583087367182,54936.59439733817,30292.747687918454,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
persistent,Persistent conditions,2028,2024,10200000,1,0,0.02,0.0025243956406598715,9.332985906139317e-4,0.004578049533111515,25748.83553473069,0.2,30898.602641676825,11423.574749114525,56035.32628528494,61191.35032959528,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
persistent,Persistent conditions,2029,2024,10404000,1,0,0.02,0.0025243956406598715,9.332985906139317e-4,0.004578049533111515,26263.812245425303,0.2,31516.57469451036,11652.046244096815,57156.03281099063,92707.92502410564,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
persistent,Persistent conditions,2030,2024,10612080,1,0,0.02,0.0025243956406598715,9.332985906139317e-4,0.004578049533111515,26789.08849033381,0.2,32146.906188400568,11885.087168978751,58299.15346721045,124854.83121250621,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
persistent,Persistent conditions,2031,2024,10824321.6,1,0,0.02,0.0025243956406598715,9.332985906139317e-4,0.004578049533111515,27324.870260140484,0.2,32789.84431216858,12122.788912358325,59465.13653655466,157644.6755246748,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
systemic,Systemic stress,2027,2024,10000000,1.6,0.06,0.02,0.004039033025055794,0.0014932777449822908,0.007324879252978424,40390.33025055794,0.4,56546.46235078111,20905.888429752074,102548.30954169793,56546.46235078111,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
systemic,Systemic stress,2028,2024,10200000,1.6,0.06,0.02,0.004281375006559143,0.0015828744096812284,0.00776437200815713,43670.025066903254,0.4,61138.03509366455,22603.44657024794,110875.23227648382,117684.49744444566,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
systemic,Systemic stress,2029,2024,10404000,1.6,0.06,0.02,0.004538257506952691,0.0016778468742621021,0.008230234328646557,47216.0311023358,0.4,66102.44354327011,24438.846431752077,119878.30113733429,183786.9409877158,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
systemic,Systemic stress,2030,2024,10612080,1.6,0.06,0.02,0.004810552957369854,0.0017785176867178285,0.008724048388365352,51049.97282784548,0.4,71469.96195898367,26423.28076201034,129612.41918968587,255256.90294669944,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
systemic,Systemic stress,2031,2024,10824321.6,1.6,0.06,0.02,0.0050991861348120456,0.0018852287479208985,0.009247491291667275,55195.23062146654,0.4,77273.32287005315,28568.851159885588,140136.94762788838,332530.2258167526,"Conditional management scenario; not an operator forecast, statutory provision or booked insurance reserve."
