dimension,segment,raw_n,effective_n,disruption_events,disruption_rate_weighted
region,1,353,181.6,107,0.28291847246391655
region,2,97,56.9,6,0.0333186082252173
region,3,100,45.7,12,0.0740307554784383
region,4,66,25,11,0.08617630492107681
sector,1,81,26.2,10,0.12546133390825995
sector,2,94,30.5,14,0.11762144315046631
sector,3,130,43.1,32,0.17356111936042276
sector,4,126,50.9,35,0.26945582114272476
sector,5,185,124.9,45,0.22277805044517193
firm_size,1,271,127.4,51,0.1695672174197128
firm_size,2,210,134.4,51,0.21894310745638038
firm_size,3,135,92.3,34,0.33300798746174104
